aX,aY,aZ,gX,gY,gZ
1.083,1.239,-0.305,7.629,-66.162,-35.339
1.068,1.206,-0.194,30.640,-82.581,-65.308
1.007,1.069,-0.133,53.284,-95.276,-97.046
0.986,1.183,-0.088,67.200,-105.225,-123.169
0.881,1.568,-0.266,80.688,-120.300,-155.212
0.889,1.322,0.434,80.261,-150.085,-204.224
0.823,1.382,0.765,88.501,-159.546,-241.882
0.753,1.487,0.865,80.811,-146.423,-270.325
0.552,1.162,1.082,68.848,-134.216,-306.885
0.478,0.477,1.829,54.443,-125.854,-350.525
0.409,-0.044,2.244,30.334,-78.613,-359.558
0.350,-0.455,2.242,20.020,-13.306,-355.896
0.261,-1.017,2.264,22.644,35.828,-347.839
0.184,-1.363,2.244,14.465,78.796,-320.862
0.202,-1.634,2.388,-2.380,112.366,-290.039
0.111,-1.732,2.698,-18.372,145.996,-261.963
0.009,-2.029,2.508,-35.095,199.829,-234.497
-0.043,-2.086,2.413,-55.786,245.239,-188.538
-0.087,-2.154,2.336,-70.435,282.593,-145.569
-0.180,-2.091,2.240,-69.397,320.312,-109.253
-0.276,-1.862,1.970,-56.641,358.887,-72.083
-0.398,-1.714,1.634,-47.241,388.306,-47.729
-0.498,-1.664,1.252,-37.476,406.433,-31.799
-0.595,-1.660,0.815,-24.414,416.382,-17.151
-0.649,-1.708,0.412,-10.620,414.429,-1.831
-0.613,-1.681,0.167,2.014,396.118,16.113
-0.569,-1.620,0.026,20.691,375.366,34.851
-0.515,-1.502,-0.131,49.255,356.445,51.270
-0.505,-1.422,-0.326,84.595,337.097,67.139
-0.472,-1.412,-0.447,104.858,321.167,82.153
-0.445,-1.295,-0.516,119.751,303.589,102.356
-0.441,-1.204,-0.561,132.629,290.588,123.230
-0.465,-1.131,-0.583,136.597,278.625,144.531
-0.514,-1.076,-0.778,131.287,275.757,169.556
-0.551,-1.059,-0.992,122.070,267.578,193.909
-0.580,-1.000,-1.139,116.089,252.502,218.567
-0.600,-0.784,-1.272,111.694,233.826,244.141
-0.602,-0.588,-1.369,99.609,212.219,262.451
-0.565,-0.408,-1.503,91.858,188.599,271.790
-0.525,-0.261,-1.595,92.896,162.842,275.574
-0.482,-0.046,-1.690,90.149,138.306,275.452
-0.429,0.085,-1.777,90.759,113.037,266.602
-0.372,0.087,-1.807,99.182,83.923,252.075
-0.335,0.238,-1.933,107.422,55.603,243.591
-0.288,0.389,-2.067,110.535,23.804,234.741
-0.237,0.373,-2.122,112.122,-13.000,219.482
-0.166,0.382,-2.107,117.615,-47.913,205.872
-0.118,0.390,-1.894,121.033,-83.130,194.580
-0.080,0.380,-1.716,126.831,-111.633,181.946
-0.061,0.436,-1.702,132.141,-129.883,171.448
-0.078,0.494,-1.762,132.568,-147.278,160.645
-0.049,0.750,-1.846,124.084,-169.861,152.954
-0.003,1.051,-1.792,110.413,-202.820,146.545
0.088,1.231,-1.518,93.994,-239.929,134.094
0.187,1.423,-1.274,84.106,-265.442,117.981
0.244,1.564,-1.121,77.881,-278.870,95.764
0.300,1.566,-0.970,76.294,-289.795,66.345
0.368,1.530,-0.669,78.064,-305.786,37.415
0.481,1.577,-0.220,77.698,-318.237,13.000
0.575,1.635,0.131,80.505,-317.871,-10.376
0.622,1.562,0.210,93.689,-304.565,-38.818
0.628,1.395,0.153,113.159,-292.725,-68.604
0.613,1.223,0.174,133.057,-286.621,-95.215
0.602,1.026,0.309,147.583,-289.673,-119.141
0.603,0.785,0.516,155.457,-293.091,-139.282
0.643,0.595,0.812,155.029,-284.119,-153.259
0.680,0.383,1.120,154.297,-269.165,-162.598
0.736,0.236,1.309,151.062,-246.033,-168.030
0.781,0.086,1.376,146.729,-212.585,-170.715
0.802,-0.187,1.439,136.108,-174.622,-171.143
0.817,-0.367,1.425,127.014,-140.503,-163.147
0.833,-0.401,1.347,115.112,-109.192,-147.827
0.805,-0.489,1.228,97.900,-77.515,-134.705
0.790,-0.628,1.071,83.069,-52.673,-121.521
0.807,-0.704,1.027,64.331,-35.950,-102.966
0.853,-0.645,1.079,39.673,-26.855,-80.872
0.903,-0.566,1.161,17.029,-15.686,-61.340
0.944,-0.407,1.199,-4.089,1.831,-44.617
0.953,-0.295,1.164,-19.775,20.386,-33.997
0.923,-0.286,0.967,-27.344,42.603,-28.748
0.883,-0.284,0.694,-27.649,56.580,-23.437
0.878,-0.274,0.507,-28.625,59.937,-18.433
0.876,-0.265,0.378,-25.635,59.326,-14.099
0.872,-0.228,0.278,-19.165,54.810,-9.277
0.887,-0.171,0.236,-14.526,47.241,-5.554
0.905,-0.143,0.208,-9.460,38.391,-3.845
0.924,-0.111,0.230,-2.319,30.334,-3.479
0.942,-0.052,0.267,3.235,23.926,-3.296
0.958,0.005,0.287,8.362,19.897,-4.456
0.977,0.028,0.344,10.803,17.883,-7.019
0.956,0.032,0.309,9.827,18.311,-9.338
0.933,-0.036,0.247,5.981,22.400,-11.353
0.943,-0.087,0.251,1.221,19.592,-11.414
0.946,-0.081,0.269,-2.625,21.240,-8.179
0.950,-0.099,0.274,-4.944,20.630,-6.470
0.934,-0.110,0.205,-3.540,24.719,-4.944
0.926,-0.113,0.141,-1.648,22.583,-2.930
0.920,-0.110,0.135,1.038,19.165,-1.221
0.915,-0.091,0.101,3.967,16.541,1.221
0.922,-0.066,0.102,4.395,13.672,3.540
0.939,-0.015,0.131,1.709,9.766,5.432
0.940,0.047,0.162,0.061,7.019,5.737
0.945,0.059,0.181,1.831,5.432,3.296
0.948,0.029,0.154,2.136,3.967,0.610
0.938,-0.001,0.161,0.854,4.517,-0.427
0.943,-0.013,0.164,-0.183,1.404,0.061
0.945,-0.018,0.176,-0.244,0.793,1.099
0.948,-0.007,0.187,1.343,-1.038,2.197
0.951,0.001,0.224,2.441,-2.563,2.869
