aX,aY,aZ,gX,gY,gZ
0.957,0.236,-0.116,9.888,3.479,-3.296
0.956,0.287,-0.033,10.742,1.953,-1.404

0.008,1.917,1.126,-59.265,241.394,379.456
0.045,2.380,0.997,-77.148,277.893,354.492
0.032,2.563,0.682,-81.116,314.636,310.242
-0.027,2.516,0.216,-80.261,349.243,257.446
-0.092,2.596,-0.252,-77.454,362.183,208.191
-0.095,2.696,-0.584,-66.956,355.225,157.837
-0.064,2.648,-0.725,-45.044,332.275,102.173
-0.065,2.403,-0.664,-25.940,299.866,47.241
-0.076,2.133,-0.507,-16.663,274.780,3.052
-0.143,1.925,-0.521,-13.184,265.503,-29.724
-0.169,1.777,-0.577,-17.151,262.268,-55.847
-0.172,1.784,-0.873,-29.785,262.390,-76.172
-0.219,1.826,-1.326,-45.044,257.324,-97.168
-0.262,1.893,-1.748,-54.321,234.619,-120.605
-0.205,1.841,-1.725,-61.096,189.453,-145.996
-0.230,1.714,-1.262,-69.580,144.348,-169.250
-0.142,1.345,-0.532,-81.665,112.976,-186.096
0.018,1.433,-0.400,-113.281,111.694,-182.190
-0.026,1.651,-0.521,-143.250,123.352,-183.838
-0.075,1.566,-0.549,-157.043,124.878,-217.102
-0.060,1.557,-0.589,-181.152,123.535,-250.183
-0.082,1.236,-0.802,-211.548,122.253,-277.649
-0.272,0.714,-0.871,-235.901,111.389,-294.067
-0.237,0.528,-0.798,-241.943,88.013,-291.382
-0.196,0.250,-0.687,-234.619,63.171,-291.321
-0.148,-0.041,-0.594,-223.328,50.781,-291.809
-0.093,-0.106,-0.623,-214.783,49.988,-280.273
-0.067,-0.113,-0.768,-212.280,55.664,-263.306
-0.022,-0.239,-1.020,-211.304,53.284,-255.676
-0.010,-0.455,-1.143,-211.060,42.175,-253.723
0.001,-0.485,-1.078,-210.327,20.508,-246.521
0.056,-0.450,-1.084,-200.500,2.197,-234.741
0.095,-0.454,-1.193,-184.143,-12.878,-225.525
0.073,-0.468,-1.378,-173.096,-33.325,-215.881
0.048,-0.543,-1.532,-167.175,-62.927,-207.092
0.086,-0.598,-1.386,-162.659,-98.999,-198.181
0.061,-0.529,-0.994,-155.823,-130.676,-186.035
-0.010,-0.471,-1.018,-150.757,-137.939,-172.913
-0.044,-0.653,-0.934,-150.085,-151.062,-170.044
-0.020,-0.766,-0.745,-147.278,-164.429,-164.307
-0.075,-0.641,-0.767,-142.517,-172.546,-149.170
-0.047,-0.671,-0.810,-134.460,-178.711,-140.564
-0.019,-0.792,-0.670,-127.563,-194.336,-138.794
0.007,-0.874,-0.594,-120.605,-202.881,-134.033
-0.005,-0.942,-0.599,-107.788,-209.351,-126.953
-0.004,-1.160,-0.675,-100.891,-211.365,-118.286
-0.000,-1.233,-0.693,-102.417,-220.642,-100.220
-0.001,-1.250,-0.743,-108.521,-230.225,-75.684
0.042,-1.346,-0.518,-111.389,-249.390,-52.917
0.083,-1.370,-0.336,-107.849,-260.681,-27.283
0.108,-1.514,-0.216,-93.140,-263.977,-5.188
0.184,-1.710,-0.011,-67.139,-268.127,14.221
0.184,-1.830,0.100,-39.612,-262.512,40.161
0.209,-1.787,0.110,-21.057,-253.967,72.083
0.207,-1.750,0.132,-9.277,-247.559,101.501
0.217,-1.578,0.226,-4.211,-240.906,129.944
0.224,-1.393,0.264,-8.423,-231.262,156.677
0.241,-1.299,0.326,-15.442,-221.313,179.993
0.264,-1.164,0.531,-20.447,-217.102,204.407
0.333,-0.949,0.834,-16.846,-209.717,223.511
0.405,-0.858,1.021,-13.733,-189.270,233.459
0.456,-0.778,1.066,-12.207,-160.461,238.647
0.505,-0.515,1.092,-15.808,-132.690,245.544
0.561,-0.180,1.115,-22.339,-104.309,247.925
0.620,0.201,1.062,-26.611,-77.209,244.873
0.704,0.448,0.959,-23.743,-60.791,231.201
0.758,0.416,0.839,-15.503,-52.124,207.520
0.832,0.259,0.843,-5.737,-48.706,185.059
0.886,0.059,0.855,5.127,-43.640,170.471
0.935,-0.130,0.820,12.024,-31.250,162.048
0.928,-0.314,0.740,13.855,-14.282,160.522
0.902,-0.318,0.632,9.277,2.808,166.809
0.901,-0.056,0.597,3.174,15.747,176.758
0.921,0.351,0.594,-4.456,26.367,180.359
0.935,0.741,0.550,-5.981,36.804,171.448
0.961,0.953,0.465,-1.831,44.128,149.048
0.972,1.045,0.306,6.531,46.387,120.422
0.968,1.008,0.121,10.742,43.701,91.980
0.960,0.808,-0.014,12.024,32.471,65.125
0.968,0.660,-0.080,8.972,19.104,46.814
0.995,0.585,-0.077,4.944,7.996,36.011
1.040,0.460,0.163,4.944,-3.845,26.184
1.053,0.412,0.268,6.226,-4.883,18.860
1.038,0.354,0.105,9.888,4.456,14.465
1.017,0.252,0.010,13.794,6.165,10.986
1.042,0.293,0.083,16.113,1.343,13.123
1.036,0.436,0.176,15.259,-0.977,15.015
1.023,0.523,0.176,15.564,1.892,11.292
1.015,0.500,0.203,16.052,4.761,2.991
1.011,0.534,0.222,14.160,7.629,-3.113
0.999,0.520,0.136,12.634,12.451,-9.583
0.969,0.364,0.015,10.864,13.794,-18.311
0.957,0.226,-0.017,9.094,6.958,-22.644
0.973,0.158,0.056,6.897,0.732,-21.301
0.978,0.119,0.075,7.141,-0.732,-18.982
0.980,0.067,0.062,9.705,-1.221,-17.273
0.988,0.021,0.140,11.780,-3.540,-14.709
0.991,0.071,0.166,12.817,-2.991,-10.559
0.983,0.044,0.130,13.550,-0.732,-8.850
0.969,-0.006,0.111,11.536,0.549,-7.935
0.972,0.070,0.121,8.301,1.831,-3.601
0.979,0.178,0.147,4.700,3.479,-1.404
0.974,0.182,0.126,1.343,6.287,-3.052
0.975,0.189,0.103,-1.099,8.606,-5.859
0.973,0.177,0.096,0.793,6.470,-9.338
0.962,0.146,0.053,4.639,3.967,-12.695
0.958,0.051,0.050,8.667,-0.671,-15.808
0.977,0.008,0.082,11.536,-6.531,-15.930
0.980,0.005,0.129,11.841,-6.592,-13.611
0.986,-0.037,0.159,10.376,-5.005,-11.719
0.983,-0.054,0.165,6.836,-2.625,-8.606
0.976,0.039,0.144,2.808,-2.319,-4.089
0.975,0.078,0.153,0.671,-1.648,-3.052
0.972,0.057,0.140,-1.099,-0.427,-4.761
0.969,0.063,0.107,-1.038,0.793,-5.310
0.962,0.013,0.124,0.549,-0.366,-6.775
0.969,0.043,0.133,2.563,-0.061,-6.287
0.975,0.085,0.141,4.272,0.610,-5.676
0.982,0.073,0.167,6.165,-0.732,-7.324

0.675,-1.433,0.715,-37.964,-129.639,123.962
0.586,-1.472,0.827,-37.476,-115.540,161.560
0.502,-1.360,0.942,-34.485,-101.013,203.308
0.404,-1.150,1.062,-32.471,-86.426,245.850
0.280,-0.999,1.096,-31.067,-71.472,282.776
0.192,-0.770,1.279,-26.794,-54.138,316.772
0.084,-0.321,1.257,-19.775,-31.250,349.609
0.024,0.027,1.158,-11.414,-6.470,370.789
0.029,0.434,1.372,-2.563,5.981,380.859
0.145,0.962,1.532,5.371,24.353,384.460
0.282,1.318,1.773,15.076,47.852,371.460
0.385,1.387,1.936,24.841,80.872,341.614
0.375,1.494,1.719,18.555,125.427,313.599
0.343,1.457,1.268,-7.690,168.213,290.344
0.312,1.246,1.167,-41.199,192.078,268.372
0.269,1.314,1.157,-76.904,212.708,259.521
0.222,1.411,1.040,-111.023,242.432,252.930
0.110,1.336,0.868,-146.667,273.865,238.586
0.049,1.216,0.743,-173.950,302.002,221.985
-0.036,1.331,0.684,-177.307,323.303,208.313
-0.112,1.563,0.389,-166.199,349.792,191.284
-0.194,1.716,-0.073,-140.686,368.896,162.231
-0.175,1.951,-0.320,-108.765,362.671,127.441
-0.084,2.306,-0.274,-87.097,336.182,90.576
-0.012,2.488,-0.158,-74.097,317.505,44.983
-0.021,2.360,-0.135,-67.932,308.533,-7.385
-0.130,1.979,-0.200,-72.083,304.504,-55.237
-0.198,1.524,-0.305,-73.975,302.551,-90.820
-0.290,1.291,-0.711,-69.153,304.260,-108.154
-0.342,1.153,-1.512,-68.420,298.279,-115.051
-0.347,1.114,-2.030,-79.285,266.602,-112.732
-0.330,0.866,-1.698,-92.224,201.477,-107.971
-0.145,0.868,-1.195,-130.371,143.860,-82.031
0.083,1.418,-0.758,-166.443,111.938,-46.692
0.298,1.914,-0.601,-192.200,100.708,-52.063
0.210,1.965,-0.672,-222.046,110.291,-99.060
0.050,1.383,-0.306,-243.347,108.398,-160.522
0.001,1.123,-0.063,-253.845,106.262,-196.777
-0.042,1.237,-0.440,-252.869,120.056,-214.966
-0.106,1.103,-0.857,-249.451,118.042,-240.662
-0.151,0.692,-0.819,-244.568,90.088,-268.250
-0.083,0.567,-0.518,-240.845,58.655,-278.259
-0.064,0.566,-0.578,-241.394,49.133,-281.067
-0.052,0.419,-0.853,-246.033,51.514,-291.016
-0.023,0.329,-1.050,-256.775,41.321,-294.983
-0.085,-0.216,-0.908,-268.372,24.841,-301.453
-0.073,-0.788,-0.775,-262.939,6.714,-299.988
0.046,-1.017,-0.943,-241.028,4.578,-273.987
0.070,-1.080,-1.189,-209.473,-7.935,-244.324
0.186,-1.203,-1.287,-175.964,-29.480,-216.980
