aX,aY,aZ,gX,gY,gZ
0.191,0.059,2.560,-20.081,-12.695,-2.075
0.176,0.059,2.576,-8.911,12.939,-2.625
0.167,0.032,2.579,3.052,38.879,-4.028
0.168,0.026,2.578,11.658,66.650,-4.456
0.165,-0.002,2.480,16.235,98.022,-4.089
0.166,-0.023,2.439,17.944,127.625,-3.113
0.193,-0.018,2.437,16.663,156.738,-1.648
0.205,0.000,2.256,16.235,193.481,0.610
0.191,0.007,1.951,17.944,228.760,1.343
0.166,-0.036,1.673,17.639,255.920,1.709
0.157,-0.041,1.491,12.939,270.569,3.357
0.185,-0.098,1.226,4.517,285.156,5.249
0.234,-0.052,1.015,-1.221,293.945,9.338
0.297,0.038,0.882,-2.991,288.696,14.648
0.350,0.085,0.740,-6.897,285.034,14.832
0.401,0.174,0.655,-8.179,276.367,13.672
0.446,0.199,0.608,-8.667,268.677,9.399
0.477,0.206,0.506,-9.460,262.024,3.540
0.488,0.208,0.347,-8.911,256.348,-1.648
0.481,0.115,0.239,-8.972,248.657,-7.568
0.498,0.070,0.154,-8.728,239.502,-10.742
0.525,0.049,0.049,-11.108,231.018,-10.376
0.533,0.019,-0.041,-11.780,223.083,-10.315
0.558,-0.008,-0.097,-13.672,212.952,-10.071
0.611,0.012,-0.118,-17.639,201.233,-8.423
0.644,0.036,-0.177,-20.081,191.223,-7.202
0.663,0.047,-0.238,-21.973,183.533,-7.690
0.689,0.063,-0.244,-23.987,171.387,-8.972
0.726,0.077,-0.263,-25.757,159.973,-11.047
0.749,0.064,-0.327,-25.146,150.208,-14.038
0.754,0.029,-0.341,-23.743,138.367,-17.456
0.751,-0.017,-0.361,-22.278,127.502,-19.897
0.759,-0.059,-0.394,-20.447,117.249,-21.057
0.764,-0.094,-0.438,-18.555,107.117,-20.630
0.783,-0.107,-0.431,-16.785,95.886,-19.165
0.826,-0.066,-0.375,-14.709,84.290,-16.724
0.852,-0.021,-0.338,-12.329,74.951,-15.564
0.863,-0.010,-0.308,-9.888,67.932,-16.479
0.865,-0.028,-0.305,-7.629,62.317,-18.433
0.869,-0.046,-0.333,-5.920,57.739,-19.592
0.870,-0.050,-0.331,-5.188,52.185,-19.592
0.880,-0.059,-0.327,-5.676,46.265,-19.043
0.882,-0.099,-0.336,-6.897,41.504,-18.677
0.886,-0.128,-0.309,-9.094,35.950,-17.029
0.901,-0.120,-0.286,-11.719,31.921,-13.428
0.908,-0.124,-0.256,-12.939,28.809,-10.620
0.910,-0.115,-0.257,-12.634,26.184,-8.423
0.914,-0.123,-0.265,-10.681,23.193,-7.080
0.926,-0.102,-0.223,-7.812,19.226,-5.798
0.942,-0.057,-0.180,-4.456,15.686,-4.822
0.941,-0.059,-0.207,-1.038,14.648,-5.737
0.931,-0.087,-0.230,1.465,12.756,-7.263
0.934,-0.092,-0.198,2.563,9.033,-7.202
0.940,-0.095,-0.186,2.319,6.348,-6.470
0.940,-0.111,-0.184,2.075,4.822,-5.920
0.933,-0.118,-0.187,2.258,3.601,-4.883
0.931,-0.139,-0.210,1.831,2.380,-4.028
0.927,-0.151,-0.210,1.282,0.977,-2.563
0.932,-0.132,-0.177,-0.061,-2.136,-0.427
0.940,-0.104,-0.152,-1.648,-3.662,1.770
0.950,-0.087,-0.155,-2.563,-3.906,2.258
0.962,-0.068,-0.151,-2.441,-5.188,2.136
0.966,-0.058,-0.128,-1.526,-7.690,1.343
0.975,-0.041,-0.101,-0.671,-9.460,0.366
0.979,-0.053,-0.087,-0.183,-10.193,-0.916
0.974,-0.075,-0.083,-0.793,-10.437,-1.892
0.974,-0.085,-0.071,-2.319,-11.536,-1.648
0.978,-0.088,-0.034,-3.845,-12.207,-0.793
0.974,-0.087,-0.016,-5.066,-12.024,0.000
0.971,-0.106,-0.001,-5.554,-11.292,0.671
0.977,-0.098,0.027,-5.310,-10.864,2.136
0.984,-0.097,0.047,-3.479,-10.986,3.296
0.989,-0.090,0.048,-0.916,-9.583,3.845
0.995,-0.080,0.051,0.244,-7.507,4.272
0.993,-0.061,0.055,0.610,-6.348,4.578
0.999,-0.054,0.047,0.610,-4.639,4.700
1.005,-0.045,0.049,0.122,-3.418,4.822
1.012,-0.013,0.044,-0.916,-1.831,5.005
1.012,-0.003,0.031,-1.221,-1.038,3.967
1.006,-0.016,0.011,-0.488,-0.732,2.258
0.999,-0.050,0.020,0.000,-1.831,1.099
1.002,-0.041,0.036,-0.488,-2.747,1.831
1.004,-0.036,0.035,0.000,-2.808,2.197
1.002,-0.044,0.037,0.488,-2.136,1.953
1.002,-0.047,0.044,0.610,-2.136,2.197
1.006,-0.037,0.071,0.977,-1.953,2.686
1.011,-0.030,0.067,1.831,-1.526,2.808
1.007,-0.021,0.045,2.075,-0.732,2.502
1.007,-0.020,0.043,2.625,-0.183,2.014
1.005,-0.015,0.029,2.014,0.488,1.709
1.006,-0.008,0.012,1.892,0.610,1.221
1.001,-0.027,0.029,2.136,0.122,0.122
0.997,-0.018,0.010,1.953,0.671,-0.427
0.993,-0.034,-0.014,1.892,0.916,-1.099
0.992,-0.039,0.009,2.136,-0.366,-1.282
0.996,-0.035,0.010,1.831,-0.732,-0.854
0.990,-0.043,0.001,1.160,-0.183,-0.916
0.985,-0.065,0.003,0.610,0.183,-1.099
0.981,-0.072,-0.005,0.000,0.000,-0.183
0.977,-0.074,-0.006,0.122,-0.427,0.854
0.976,-0.071,-0.010,1.343,-0.671,1.648
0.979,-0.080,0.015,2.258,-1.404,2.075
0.984,-0.058,0.023,2.380,-1.282,3.113
0.992,-0.043,0.030,2.197,-0.732,3.723
1.002,-0.021,0.043,1.892,-0.061,3.540
1.005,-0.002,0.031,1.282,1.343,2.991
1.006,-0.000,0.019,0.916,2.075,1.709
1.007,-0.001,0.002,0.916,2.258,0.549
1.009,-0.016,0.014,-0.183,1.587,-0.183
1.001,-0.020,0.014,-0.854,1.282,-0.732
0.998,-0.042,0.002,-0.732,1.648,-1.160
0.996,-0.049,0.010,-0.427,0.610,-1.221
0.990,-0.050,0.009,0.366,-0.244,-1.038
0.982,-0.055,0.011,0.916,-0.366,-1.160
0.978,-0.079,0.002,0.977,-0.671,-1.160
